County,PQIDescription,RiskAdjRate_mean,ObsRate_mean,years_count,CtyPQIRate,CtyPhyRate,StPQIRate,StPhyRate,CtyMeanLengthStay,StMeanLengthStay,PQIRateComp,PhySupplyRateComp,z_risk,z_phys,priority_score
Placer,Heart Failure,318.9,269.7,5,299.9,232.2,353.7,161.2,4.8,4.9,Low,High,0.4377609062663044,0.8175151931260574,-0.379754286859753
Placer,Hypertension,38.019999999999996,26.78,5,34.9,233.7,49.0,161.5,2.8,3.0,Low,High,-0.6184891234910957,0.8314623297693261,-1.4499514532604219
Placer,Lower-Extremity Amputation (Diabetes),40.2,27.139999999999997,5,,,,,,,,,-0.6102912273615346,,
Placer,Overall Composite,828.46,631.3,5,,,,,,,,,2.3539627190090444,,
Placer,Uncontrolled Diabetes,24.36,17.94,5,,,,,,,,,-0.6698575918992631,,
Placer,Urinary Tract Infection,70.72,67.44,5,78.5,195.7,84.4,140.1,3.8,3.7,Low,High,-0.49552068154767864,0.4781348681398529,-0.9736555496875315
Plumas,Acute Composite,254.34,328.38,5,,,,,,,,,0.19498284474131958,,
Plumas,Asthma in Younger Adults (Age 18-39),17.439999999999998,15.419999999999998,5,26.7,427.4,16.0,351.2,2.0,2.5,High,High,-0.6958802713564022,2.6325025749700877,-3.3283828463264897
Plumas,COPD or Asthma in Older Adults (Age 40+),169.38,163.82,5,189.4,132.0,134.7,232.4,2.8,3.9,High,Low,-0.12450947414286129,-0.11415353464429008,-0.010355939498571207
Plumas,Chronic Composite,313.08,410.76000000000005,5,,,,,,,,,0.4158747799020632,,
Plumas,Community-Acquired Pneumonia,141.07999999999998,186.5,5,207.6,100.9,88.5,133.3,2.3,4.5,High,Low,-0.2309317037146871,-0.40332416771472723,0.17239246400004013
Plumas,Diabetes Composite,93.46000000000001,111.96,5,113.2,100.9,223.4,147.8,5.5,5.6,Low,Low,-0.41000684760904543,-0.40332416771472723,-0.0066826798943182
Plumas,Diabetes Long-term Complications,39.9,52.42,5,,,,,,,,,-0.6114193782050521,,
Plumas,Diabetes Short-term Complications,36.04,33.38,5,,,,,,,,,-0.6259349190583118,,
Plumas,Heart Failure,110.67999999999999,160.72,5,251.6,144.0,353.7,161.2,3.4,4.9,Low,Low,-0.34525098919113595,-0.0025764414981406716,-0.34267454769299527
Plumas,Hypertension,8.059999999999999,9.919999999999998,5,6.3,144.0,49.0,161.5,5.0,3.0,Low,Low,-0.7311537877303854,-0.0025764414981406716,-0.7285773462322448
Plumas,Lower-Extremity Amputation (Diabetes),13.180000000000001,18.78,5,,,,,,,,,-0.7119000133343519,,
Plumas,Overall Composite,565.26,739.14,5,,,,,,,,,1.3641983789629475,,
Plumas,Uncontrolled Diabetes,12.56,16.1,5,,,,,,,,,-0.7142315250776217,,
Plumas,Urinary Tract Infection,113.42,141.92000000000002,5,213.9,100.9,84.4,140.1,3.0,3.7,High,Low,-0.3349472114870086,-0.40332416771472723,0.06837695622771861
Riverside,Acute Composite,208.4,175.6,5,,,,,,,,,0.022225345570659662,,
Riverside,Asthma in Younger Adults (Age 18-39),17.82,15.98,5,16.4,245.9,16.0,351.2,2.5,2.5,High,Low,-0.6944512802879467,0.9448990411345781,-1.639350321422525
Riverside,COPD or Asthma in Older Adults (Age 40+),144.4,115.34,5,122.7,160.8,134.7,232.4,3.5,3.9,Low,Low,-0.21844683437975906,0.1536314889064686,-0.3720783232862277
Riverside,Chronic Composite,802.08,686.5799999999999,5,,,,,,,,,2.2547606548357315,,
Riverside,Community-Acquired Pneumonia,111.05999999999999,94.34,5,104.0,93.0,88.5,133.3,4.3,4.5,High,Low,-0.3438219981226804,-0.47677908736927566,0.13295708924659527
Riverside,Diabetes Composite,257.62,237.38000000000002,5,251.2,103.7,223.4,147.8,5.3,5.6,High,Low,0.20731729396377854,-0.37728951264729244,0.584606806611071
Riverside,Diabetes Long-term Complications,128.22,115.85999999999999,5,,,,,,,,,-0.2792917698734743,,
Riverside,Diabetes Short-term Complications,79.02000000000001,77.82000000000001,5,,,,,,,,,-0.4643085082103587,,
Riverside,Heart Failure,383.74,322.18,5,353.2,114.2,353.7,161.2,4.4,4.9,Low,Low,0.6815919085785724,-0.2796595561444117,0.9612514647229842
Riverside,Hypertension,57.42,51.36,5,61.1,115.3,49.0,161.5,2.6,3.0,High,Low,-0.545535368943625,-0.26943165593934804,-0.27610371300427694
Riverside,Lower-Extremity Amputation (Diabetes),38.3,35.5,5,,,,,,,,,-0.6174361827038125,,
Riverside,Overall Composite,1010.74,862.18,5,,,,,,,,,3.0394271715303307,,
Riverside,Uncontrolled Diabetes,33.96,28.1,5,,,,,,,,,-0.6337567649067003,,
Riverside,Urinary Tract Infection,97.66,81.22,5,88.0,97.8,84.4,140.1,3.7,3.7,High,Low,-0.39421273579979926,-0.4321482501108159,0.03793551431101666
STATEWIDE,Acute Composite,183.0,153.68,5,,,,,,,,,-0.07329142584716279,,
STATEWIDE,Asthma in Younger Adults (Age 18-39),16.4,13.98,5,,,,,,,,,-0.6997911942805964,,
STATEWIDE,COPD or Asthma in Older Adults (Age 40+),161.28,125.25999999999999,5,,,,,,,,,-0.15496954691783613,,
STATEWIDE,Chronic Composite,749.1600000000001,652.24,5,,,,,,,,,2.055754846039229,,
STATEWIDE,Community-Acquired Pneumonia,92.5,76.96000000000001,5,,,,,,,,,-0.41361693030830177,,
STATEWIDE,Diabetes Composite,223.11999999999998,206.4,5,,,,,,,,,0.07757994695925585,,
STATEWIDE,Diabetes Long-term Complications,107.08,97.22,5,,,,,,,,,-0.358788799313347,,
STATEWIDE,Diabetes Short-term Complications,69.66,67.14,5,,,,,,,,,-0.49950681452810747,,
